review_id,cluster_k2,Sentiment,region,dist_to_own_centroid,margin,n_words
bn_2149,1,2,B_uniform,0.66589886,0.028005362,6
bn_2150,0,2,B_uniform,0.7796985,0.055947185,8
bn_2151,1,2,B_uniform,0.70463884,0.035124183,8
bn_2152,0,2,B_uniform,0.7019477,0.05606538,8
bn_2153,1,2,B_uniform,0.64897346,0.03902054,6
bn_2154,1,2,B_uniform,0.6876472,0.04964471,7
bn_2155,0,2,B_uniform,0.85898966,0.045987725,9
bn_2156,0,2,B_uniform,0.682265,0.032101095,6
bn_2157,1,2,B_uniform,0.63138986,0.0598197,7
bn_2158,1,2,B_uniform,0.6740221,0.076116264,5
bn_2159,1,2,B_uniform,0.6256002,0.037323534,7
bn_2160,1,2,B_uniform,0.6541336,0.11184251,5
bn_2161,1,2,B_uniform,0.635975,0.059961736,8
bn_2162,1,2,B_uniform,0.5920421,0.07356328,8
bn_2163,1,2,B_uniform,0.62753004,0.066595376,6
bn_2164,0,2,B_uniform,0.6929287,0.07424694,8
bn_2165,1,2,B_uniform,0.6837616,0.0651741,7
bn_2166,1,2,B_uniform,0.64663076,0.10747653,9
bn_2167,1,2,B_uniform,0.6492578,0.052449524,6
bn_2168,0,2,B_uniform,0.9291897,0.021636605,7
bn_2169,1,2,B_uniform,0.6553685,0.07398623,8
bn_2170,1,2,B_uniform,0.65036213,0.06664467,10
bn_2171,1,2,B_uniform,0.5799507,0.028785527,9
bn_2172,1,2,B_uniform,0.6265654,0.058296084,8
bn_2173,0,2,B_uniform,0.76023537,0.0768379,6
bn_2174,1,2,B_uniform,0.62214214,0.090877235,9
bn_2175,0,2,B_uniform,0.71761316,0.098587275,9
bn_2176,0,2,B_uniform,0.7809647,0.019424736,7
bn_2177,1,2,B_uniform,0.62637186,0.06307739,7
bn_2178,1,2,B_uniform,0.71100223,0.1043126,7
bn_2179,0,2,B_uniform,0.8693423,0.031618,7
bn_2180,1,2,B_uniform,0.54457456,0.07302952,8
bn_2181,0,2,B_uniform,0.7577507,0.017359972,6
bn_2182,0,2,B_uniform,0.7342864,0.065565646,6
bn_2183,1,2,B_uniform,0.8320219,0.04582429,6
bn_2184,1,2,B_uniform,0.6491363,0.07902765,8
bn_2185,0,2,B_uniform,0.6567525,0.038039684,7
bn_2186,0,2,B_uniform,0.8057132,0.0060272217,7
bn_2187,0,2,B_uniform,0.72494173,0.023167372,5
bn_2188,1,2,B_uniform,0.7294634,0.09823555,7
bn_2189,1,2,B_uniform,0.6454641,0.063571215,6
bn_2190,1,2,B_uniform,0.66254926,0.024724424,6
bn_2191,1,2,B_uniform,0.6413161,0.065463305,8
bn_2192,1,2,B_uniform,0.74463713,0.09268707,7
bn_2193,1,2,B_uniform,0.6517354,0.07388002,8
bn_2194,0,2,B_uniform,0.70731515,0.07699734,4
bn_2195,1,2,B_uniform,0.63017523,0.06542832,9
bn_2196,0,2,B_uniform,0.84138083,0.07662237,5
bn_2197,1,2,B_uniform,0.6082425,0.06609076,9
bn_2198,0,2,B_uniform,0.88972354,0.039622843,6
bn_2199,1,2,B_uniform,0.7440822,0.08200508,5
bn_2200,0,2,B_uniform,0.81233627,0.052869678,4
bn_2201,1,2,B_uniform,0.7625154,0.051616967,10
bn_2202,1,2,B_uniform,0.62468064,0.08775544,6
bn_2203,1,2,B_uniform,0.7155691,0.07163924,7
bn_2204,0,2,B_uniform,0.7772665,0.045689583,7
bn_2205,1,2,B_uniform,0.6486576,0.08474511,7
bn_2206,0,2,B_uniform,0.75294906,0.071101725,7
bn_2207,0,2,B_uniform,0.8661302,0.007017672,8
bn_2208,1,2,B_uniform,0.6465987,0.089221776,10
bn_2209,0,2,B_uniform,0.7928816,0.034159184,6
bn_2210,0,2,B_uniform,0.7159725,0.06826323,8
bn_2211,0,2,B_uniform,0.84629333,0.048821867,5
bn_2212,1,2,B_uniform,0.646164,0.042450845,6
bn_2213,0,2,B_uniform,0.8037489,0.06532037,6
bn_2214,1,2,B_uniform,0.7038923,0.035627842,4
bn_2215,1,2,B_uniform,0.6195904,0.06948978,8
bn_2216,0,2,B_uniform,0.7467712,0.03530103,9
bn_2217,1,2,B_uniform,0.72331727,0.10824883,8
bn_2219,0,2,B_uniform,0.70678914,0.0566262,8
bn_2220,0,2,B_uniform,0.7306648,0.024572909,6
bn_2221,1,2,B_uniform,0.6729232,0.048351347,7
bn_2222,1,2,B_uniform,0.64031005,0.06820959,6
bn_2223,0,2,B_uniform,0.8201646,0.04058695,9
bn_2224,1,2,B_uniform,0.7319722,0.0096949935,7
bn_2225,1,2,B_uniform,0.6468056,0.06079185,7
bn_2226,0,2,B_uniform,0.8699713,0.014656901,8
bn_2227,0,2,B_uniform,0.71589077,0.060179114,6
bn_2228,0,2,B_uniform,0.6681479,0.02754128,7
bn_2229,1,2,B_uniform,0.72080564,0.07709092,5
bn_2230,0,2,B_uniform,0.8344083,0.051379323,4
bn_2231,1,2,B_uniform,0.70058566,0.10181403,5
bn_2232,1,2,B_uniform,0.5516922,0.04333204,10
bn_2233,0,2,B_uniform,0.6465112,0.060989678,6
bn_2234,1,2,B_uniform,0.5782224,0.06312221,9
bn_2235,1,2,B_uniform,0.64974034,0.09004676,5
bn_2236,1,2,B_uniform,0.5787809,0.019577086,7
bn_2238,1,2,B_uniform,0.73949146,0.089963496,9
bn_2239,1,2,B_uniform,0.69485176,0.068378985,7
bn_2240,1,2,B_uniform,0.61961293,0.057040215,9
bn_2241,1,2,B_uniform,0.7273308,0.09128773,12
bn_2242,1,2,B_uniform,0.65612495,0.030007958,8
bn_2243,0,2,B_uniform,0.7300802,0.05182749,8
bn_2244,1,2,B_uniform,0.6228889,0.07828671,7
bn_2245,1,2,B_uniform,0.69037634,0.090933144,7
bn_2246,0,2,B_uniform,0.6693803,0.07238507,9
bn_2247,0,2,B_uniform,0.72957665,0.061656773,6
bn_2248,0,2,B_uniform,0.71049416,0.002842784,8
bn_2249,1,2,B_uniform,0.6215339,0.061617136,7
bn_2250,1,2,B_uniform,0.63718736,0.046339273,7
bn_2251,1,2,B_uniform,0.6817629,0.09165549,6
bn_2252,0,2,B_uniform,0.70916516,0.042027414,7
bn_2253,1,2,B_uniform,0.6079879,0.07617289,7
bn_2254,1,2,B_uniform,0.62132186,0.101845264,8
bn_2255,1,2,B_uniform,0.66238123,0.059022784,6
bn_2257,0,2,B_uniform,0.8715585,0.07834649,5
bn_2258,1,2,B_uniform,0.7306001,0.035847902,6
bn_2259,1,2,B_uniform,0.7374398,0.07913816,4
bn_2260,1,2,B_uniform,0.64570147,0.0968917,7
bn_2261,1,2,B_uniform,0.775288,0.04050815,9
bn_2262,0,2,B_uniform,0.72982174,0.066188216,7
