word,count_c0,count_c1,log_odds_delta,z
হতে,10,4,0.10057026420964021,0.1755524078623487
উচিত,10,4,0.10057026420964021,0.1755524078623487
জুটি,10,4,0.10057026420964021,0.1755524078623487
হয়নি,5,2,0.10053838179857344,0.12409494545966909
বাংলায়,5,2,0.10053838179857344,0.12409494545966909
চিত্র,5,2,0.10053838179857344,0.12409494545966909
দেওয়া,5,2,0.10053838179857344,0.12409494545966909
রোমান্টিক,5,2,0.10053838179857344,0.12409494545966909
সম্ভব,5,2,0.10053838179857344,0.12409494545966909
ভুল,5,2,0.10053838179857344,0.12409494545966909
ফেরদৌস,5,2,0.10053838179857344,0.12409494545966909
তাও,5,2,0.10053838179857344,0.12409494545966909
বানায়,5,2,0.10053838179857344,0.12409494545966909
পায়,5,2,0.10053838179857344,0.12409494545966909
তবুও,5,2,0.10053838179857344,0.12409494545966909
সমাজের,5,2,0.10053838179857344,0.12409494545966909
ভালোই,5,2,0.10053838179857344,0.12409494545966909
৷,5,2,0.10053838179857344,0.12409494545966909
রাখতে,12,5,0.06224245058424671,0.12064959195237104
যেমন,14,6,0.035749388594648046,0.07554906256851383
বাংলাদেশ,7,3,0.03573299304716304,0.05339675415535756
সঙ্গে,7,3,0.03573299304716304,0.05339675415535756
তাহলে,7,3,0.03573299304716304,0.05339675415535756
গল্প।,7,3,0.03573299304716304,0.05339675415535756
কার,7,3,0.03573299304716304,0.05339675415535756
তোলা,7,3,0.03573299304716304,0.05339675415535756
মতো,32,14,0.01635213416820136,0.052600756708938906
সময়,18,8,0.0014923077005786212,0.003618909240663724
কাছে,18,8,0.0014923077005786212,0.003618909240663724
লেগেছে,18,8,0.0014923077005786212,0.003618909240663724
দেখবে,9,4,0.001491412161556127,0.0025574196266500196
অপূর্ব,9,4,0.001491412161556127,0.0025574196266500196
কী,11,5,-0.019697644305557205,-0.037616309867533775
যাবে,11,5,-0.019697644305557205,-0.037616309867533775
গেল,22,10,-0.019712261932907538,-0.05323697345744993
হচ্ছে,13,6,-0.03410802413477665,-0.07116163558443132
হয়েছে,13,6,-0.03410802413477665,-0.07116163558443132
নাম,13,6,-0.03410802413477665,-0.07116163558443132
হলো,24,11,-0.027551268426118547,-0.0779262174746526
থাকবে,15,7,-0.044546810663192105,-0.10019186007333765
হয়ে,15,7,-0.044546810663192105,-0.10019186007333765
হয়,15,7,-0.044546810663192105,-0.10019186007333765
মানুষ,28,13,-0.039751393724324124,-0.12195045591430681
ধরে,17,8,-0.052458805733548,-0.12594645008192717
আমাদের,17,8,-0.052458805733548,-0.12594645008192717
বাইরে,4,2,-0.1097033367358744,-0.13026112087313785
হোক,4,2,-0.1097033367358744,-0.13026112087313785
ত,4,2,-0.1097033367358744,-0.13026112087313785
সামনে,4,2,-0.1097033367358744,-0.13026112087313785
করেন,4,2,-0.1097033367358744,-0.13026112087313785
চায়,4,2,-0.1097033367358744,-0.13026112087313785
শাবনুর,4,2,-0.1097033367358744,-0.13026112087313785
কাঞ্চন,4,2,-0.1097033367358744,-0.13026112087313785
গুলোর,4,2,-0.1097033367358744,-0.13026112087313785
হৃদয়,4,2,-0.1097033367358744,-0.13026112087313785
মানেই,4,2,-0.1097033367358744,-0.13026112087313785
লজ্জা,4,2,-0.1097033367358744,-0.13026112087313785
স্টোরি,4,2,-0.1097033367358744,-0.13026112087313785
দিনে,4,2,-0.1097033367358744,-0.13026112087313785
বিশ্বের,4,2,-0.1097033367358744,-0.13026112087313785
বিশ্বাস,4,2,-0.1097033367358744,-0.13026112087313785
যথেষ্ট,4,2,-0.1097033367358744,-0.13026112087313785
উপস্থাপন,4,2,-0.1097033367358744,-0.13026112087313785
সহ,4,2,-0.1097033367358744,-0.13026112087313785
মুগ্ধ,4,2,-0.1097033367358744,-0.13026112087313785
এভাবে,4,2,-0.1097033367358744,-0.13026112087313785
সংসার,4,2,-0.1097033367358744,-0.13026112087313785
গেছি,4,2,-0.1097033367358744,-0.13026112087313785
গানগুলো,4,2,-0.1097033367358744,-0.13026112087313785
মায়ের,4,2,-0.1097033367358744,-0.13026112087313785
তারা,6,3,-0.10971882675195932,-0.1595591661663808
বড়,6,3,-0.10971882675195932,-0.1595591661663808
"গল্প,",6,3,-0.10971882675195932,-0.1595591661663808
থেকেই,6,3,-0.10971882675195932,-0.1595591661663808
যার,6,3,-0.10971882675195932,-0.1595591661663808
নষ্ট,21,10,-0.06366108685709904,-0.17052231191488318
যা,21,10,-0.06366108685709904,-0.17052231191488318
হইছে,8,4,-0.109734321147406,-0.18426907371656817
তুলে,8,4,-0.109734321147406,-0.18426907371656817
তা,10,5,-0.10974981992407162,-0.20604818544090978
হল,12,6,-0.1097653230838187,-0.22574636241989482
হয়ে,26,13,-0.10987396808479222,-0.3326185463494919
কে,47,23,-0.08963542239717093,-0.3623441207829587
গল্পের,7,4,-0.23632734488343932,-0.38698419334584466
এটাই,7,4,-0.23632734488343932,-0.38698419334584466
জীবন,11,6,-0.19222327821305196,-0.3889705339630502
হাজার,13,7,-0.1800067205303284,-0.3943989457112784
